Model,Train RMSE,Test RMSE,Train R²,Test R²,MAPE (%)
Linear Regression,376.7512399808308,1203.3871501605656,0.6263760877979803,-1.217049596378375,65.69450664019631
Random Forest,275.8796861468208,1059.4065203995135,0.79966135624344,-0.7182642418254124,60.026096567398966
